階段,成功 (+1),成功 (+2),成功 (+3),成功 (+4),無變化,失敗 (-1),"1次獲得
點數","確定強化點數 
最大值"
0,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
1,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
2,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
3,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
4,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
5,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
6,22.00%,32.50%,26.00%,19.50%,0.00%,0.00%,130pt,無
7,22.00%,52.00%,26.00%,0.00%,0.00%,0.00%,130pt,無
8,35.00%,62.40%,2.60%,0.00%,0.00%,0.00%,130pt,無
9,74.00%,23.40%,2.60%,0.00%,0.00%,0.00%,130pt,無
10,74.00%,23.40%,2.60%,0.00%,0.00%,0.00%,130pt,無
11,74.00%,26.00%,0.00%,0.00%,0.00%,0.00%,130pt,無
12,98.70%,1.30%,0.00%,0.00%,0.00%,0.00%,130pt,無
13,13.00%,0.26%,0.00%,0.00%,87.00%,0.00%,130pt,1000
14,6.50%,0.00%,0.00%,0.00%,93.50%,0.00%,130pt,2000
15,3.25%,0.00%,0.00%,0.00%,96.75%,0.00%,130pt,4000
16,1.63%,0.00%,0.00%,0.00%,98.37%,0.00%,130pt,8000
17,1.04%,0.00%,0.00%,0.00%,98.96%,0.00%,130pt,12000
18,0.63%,0.00%,0.00%,0.00%,97.87%,1.50%,130pt,16000
19,0.60%,0.00%,0.00%,0.00%,97.90%,1.50%,130pt,20000
20,0.58%,0.00%,0.00%,0.00%,97.92%,1.50%,130pt,21000
21,0.55%,0.00%,0.00%,0.00%,97.95%,1.50%,130pt,22000
22,0.52%,0.00%,0.00%,0.00%,97.98%,1.50%,130pt,23000
23,0.50%,0.00%,0.00%,0.00%,98.00%,1.50%,130pt,24000
24,0.47%,0.00%,0.00%,0.00%,98.03%,1.50%,130pt,25000
25,0.45%,0.00%,0.00%,0.00%,98.05%,1.50%,130pt,26000
26,0.42%,0.00%,0.00%,0.00%,98.08%,1.50%,130pt,27000
27,0.39%,0.00%,0.00%,0.00%,98.11%,1.50%,130pt,28000
28,0.37%,0.00%,0.00%,0.00%,98.13%,1.50%,130pt,29000
29,0.34%,0.00%,0.00%,0.00%,98.16%,1.50%,130pt,30000
30,0.32%,0.00%,0.00%,0.00%,98.18%,1.50%,130pt,31000
31,0.29%,0.00%,0.00%,0.00%,98.21%,1.50%,130pt,32000
